"gene_id"	"gene_name"	"gene_biotype"	"gene_seq_start"	"gene_seq_end"	"seq_name"	"seq_strand"	"seq_coord_system"	"description"	"gene_id_version"	"canonical_transcript"	"symbol"	"entrezid"	"diffExpressed_fac"	"Rhythmicity_fac"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"diffExpressed"	"Rhythmicity_lmrAMP"	"BH.Q"	"ADJ.P"	"PER"	"LAG"	"AMP"	"amp_lmr"	"amp_lmr_abs"	"Liver_WT_DD_CT0_A"	"Liver_WT_DD_CT0_B"	"Liver_WT_DD_CT0_C"	"Liver_WT_DD_CT0_D"	"Liver_WT_DD_CT4_A"	"Liver_WT_DD_CT4_B"	"Liver_WT_DD_CT4_C"	"Liver_WT_DD_CT4_D"	"Liver_WT_DD_CT8_A"	"Liver_WT_DD_CT8_B"	"Liver_WT_DD_CT8_C"	"Liver_WT_DD_CT8_D"	"Liver_WT_DD_CT12_A"	"Liver_WT_DD_CT12_B"	"Liver_WT_DD_CT12_C"	"Liver_WT_DD_CT12_D"	"Liver_WT_DD_CT16_A"	"Liver_WT_DD_CT16_B"	"Liver_WT_DD_CT16_C"	"Liver_WT_DD_CT16_D"	"Liver_WT_DD_CT20_A"	"Liver_WT_DD_CT20_B"	"Liver_WT_DD_CT20_C"	"Liver_WT_DD_CT20_D"	"Liver_WT_DD_CT24_A"	"Liver_WT_DD_CT24_B"	"Liver_WT_DD_CT24_C"	"Liver_WT_DD_CT24_D"	"Liver_WT_DD_CT28_A"	"Liver_WT_DD_CT28_B"	"Liver_WT_DD_CT28_C"	"Liver_WT_DD_CT28_D"	"Liver_WT_DD_CT32_A"	"Liver_WT_DD_CT32_B"	"Liver_WT_DD_CT32_C"	"Liver_WT_DD_CT32_D"	"Liver_WT_DD_CT36_A"	"Liver_WT_DD_CT36_B"	"Liver_WT_DD_CT36_C"	"Liver_WT_DD_CT36_D"	"Liver_WT_DD_CT40_A"	"Liver_WT_DD_CT40_B"	"Liver_WT_DD_CT40_C"	"Liver_WT_DD_CT40_D"	"Liver_WT_DD_CT44_A"	"Liver_WT_DD_CT44_B"	"Liver_WT_DD_CT44_C"	"Liver_WT_DD_CT44_D"
ENSMUSG00000060317	Acnat2	protein_coding	49379840	49408151	4	-1	chromosome	acyl-coenzyme A amino acid N-acyltransferase 2 [Source:MGI Symbol;Acc:MGI:2444345]	ENSMUSG00000060317.9	ENSMUST00000081541	Acnat2	209186	UP	Rhythmic	2.94214801419681	4.68901227837105	23.1971969452554	1.23347453713621e-40	3.69404357069932e-38	82.184512146084	UP	Rhythmic	1.39661315010265e-05	1.11278791004149e-06	24	22	0.451664663218529	0.91857589074225	8.20744077491726	1.68708359633861	3.16101867811558	2.1645652053986	3.04780559611665	1.33610966428868	3.31538094103673	2.02040285145724	2.22748912310727	1.61992807954374	1.43520329667252	2.06849747916454	2.55494157117081	1.7103577569251	2.28303807402091	2.0189143791697	1.12470750649688	2.60347602630935	2.55427836022345	2.23596602014357	3.33364432508318	2.49844836126475	4.03192023710676	3.14563635655849	2.88275181056246	3.08453106908992	3.56314971223999	3.92258922638504	3.61642933439198	2.84851481756495	1.69021550229407	3.38350383051787	2.47031096567996	2.41058283034381	2.13899637314989	2.44622544379245	0.870035107944399	1.97663842009234	1.69206556773261	1.75770359218685	2.45884785393631	3.14216047379242	3.35649240800219	3.07274622649275	3.56592708928126	4.09576026308365	4.41761906562448	4.64785387763307	3.38828244627023
ENSMUSG00000021228	Acot3	protein_coding	84052144	84060402	12	1	chromosome	acyl-CoA thioesterase 3 [Source:MGI Symbol;Acc:MGI:2159619]	ENSMUSG00000021228.15	ENSMUST00000021653	Acot3	171281	UP	Rhythmic	2.18666708548117	5.01252506269357	11.3830213489886	2.26767274641485e-19	3.12614885755761e-18	33.2844086748619	UP	Rhythmic	2.730496948998e-06	1.67885477347718e-07	24	16	1.10455610805686	1.44955592657496	29.0905382894119	3.52181739874605	5.22388078543919	3.52759851402454	4.48091642434359	1.83802653194211	3.50559264392788	1.97529570080619	4.150710913211	2.39586109790743	2.90010623136726	5.1582228866845	6.40278239380793	6.13766656698028	5.88520208717204	5.53171704788441	5.29413326563221	5.94948894599172	5.39465325953365	6.35719367783978	5.99469295454802	5.12422667356996	5.47113749526051	6.29566999329483	4.34127991621189	5.57408682639175	4.42822494395467	5.53706320456748	4.91425919702148	4.75892381108129	3.22398074590915	4.8398588408322	4.12627771825406	4.40518988751544	5.14737974499498	6.18804444370954	5.17461741752308	7.16000230626344	7.81391255168699	6.65514694236598	6.92531829582214	6.90610446279534	6.69440522634255	5.96333114322566	6.98092939711013	6.49575128824424	6.70043176148832	5.52502337402878	4.95380145195088
ENSMUSG00000038092	Hsd3b5	protein_coding	98618634	98630252	3	-1	chromosome	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 5 [Source:MGI Symbol;Acc:MGI:104645]	ENSMUSG00000038092.6	ENSMUST00000044094	Hsd3b5	15496	DOWN	Rhythmic	-2.00259391403332	6.31400530214903	-11.0344216581601	1.22058375455108e-18	1.53412010250017e-17	31.6038949291915	DOWN	Rhythmic	1.23193410070665e-07	4.68092404413578e-09	24	8	0.401916361652355	0.752872605821112	109.382612382338	1.80562130407341	2.19568089956115	2.76178617309011	3.10220670010048	2.44889723544074	2.55243273120499	2.51930303198232	2.24996131358178	2.77681478696871	2.92330199746168	2.81384465523184	2.41140442476458	2.05144795035835	2.25500480030676	2.06163587143336	2.10661434922478	2.2041237982735	1.11636549227395	2.19034751507375	1.4183667675867	1.6392793815686	1.21603237611822	1.55784559023639	1.52077326222652	2.45387655702744	1.7651494653102	1.70421763490488	1.55249969779614	2.79917708724785	2.11234374867338	2.4427057593716	2.08606646281296	3.21151430534644	2.16573318681007	2.59470847787327	3.57321626744488	2.34108399563591	1.85554734339389	2.06253148881429	1.88008550267944	0.57145413629988	0.965413441584865	0.934888284232064	1.22578912539792	-0.375011625405302	1.24682238206369	1.22254261099669	1.7978883269652
ENSMUSG00000050860	Phospho1	protein_coding	95824499	95832140	11	1	chromosome	phosphatase, orphan 1 [Source:MGI Symbol;Acc:MGI:2447348]	ENSMUSG00000050860.6	ENSMUST00000054173	Phospho1	237928	DOWN	Rhythmic	-1.93138780711222	2.04725519407124	-14.8872084112787	1.93051935979868e-26	7.13470665525596e-25	49.5535408081632	DOWN	Rhythmic	3.58533059527176e-05	3.35621620490033e-06	24	6	0.526636262917966	0.688790965673993	4.99212118030679	3.49770018482609	2.8121187154256	1.95413262771858	2.15907126577656	3.21140707807971	3.6087666905025	2.95806362111027	3.27942006595464	3.13709094949686	3.36384654416074	2.89868206348965	2.83769613993027	2.58125823937144	3.12433727660902	2.7255785891068	2.97930543635198	1.39310410926619	2.7916031666949	1.6492212307382	1.97785030904161	2.10438375953916	2.26051649102072	2.32030058086074	1.9684025489194	3.71771274832051	4.34671203819035	3.53297399450197	3.73306458221231	4.28586899582927	3.02977273795982	3.82485984512671	4.1732185992822	2.43567470083242	2.89810670981819	3.43708288876221	1.9033591588898	3.03293632638112	1.5323246463061	3.01788614543368	2.76522328608591	2.28376893398237	1.0226567483556	2.03172730532014	2.40315245892963	2.1188369075556	3.47917592662303	3.00465145271998	2.06612996889623
ENSMUSG00000028957	Per3	protein_coding	151003652	151044665	4	-1	chromosome	period circadian clock 3 [Source:MGI Symbol;Acc:MGI:1277134]	ENSMUSG00000028957.12	ENSMUST00000103204	Per3	18628	UP	Rhythmic	1.92255616352153	3.44601079753762	20.2085274287644	6.04932158678988e-36	9.38184963951251e-34	71.4172388962134	UP	Rhythmic	1.05624992752869e-16	1.21617723376936e-19	24	14	1.70709651503455	1.82689118628369	14.3500044019116	0.142379503722589	0.901733304618875	0.836742669033432	0.323488684105671	1.26172422184403	1.16000197533823	-0.322845960906463	0.0806620031738686	2.3328268559086	2.92513264025015	2.85912597191749	3.36125216861631	3.70088844778514	3.85332117042892	3.95183337778659	3.67592326568574	3.22485188932553	2.62077064191801	4.07340061599237	3.13921789511551	2.15520143439991	2.24846930334179	2.00326607707678	2.59932195657482	-1.01015857834142	0.810861477721699	0.784304474465864	-0.406613492368411	0.90115796563085	0.809853270451992	1.47717885879154	0.940792356307493	2.91655494138982	3.35770245054726	2.50452039507234	3.55390985950238	4.15824363302055	4.4685770485164	3.16776119318066	3.81951163615289	3.55197969145729	3.42411315534464	3.27473788081982	3.87796734785925	2.06613419990256	1.97899305137879	1.72207873089384	2.0420448046955
ENSMUSG00000116165	Pdxp	protein_coding	78913919	78919517	15	1	chromosome	pyridoxal (pyridoxine, vitamin B6) phosphatase [Source:MGI Symbol;Acc:MGI:1919282]	ENSMUSG00000116165.1	ENSMUST00000089378	Pdxp	57028	UP	Rhythmic	1.90400190146976	1.73257721357554	14.9757674563363	1.30272743025672e-26	4.94069333265484e-25	49.9467650561997	UP	Rhythmic	6.62571674014131e-08	2.2734180639748e-09	24	18	1.60958679132282	1.18193544759898	2.20924834319492	-1.39804504350069	-0.525982818038269	-2.12510582737544	-0.979363788849243	-1.56628090379835	-2.1967508860959	-1.69615784130613	-1.64848424489296	-2.2786121806424	-2.22049969737221	-1.70503592745736	-1.58847970400862	-0.352478319663378	0.309117755609577	0.259126037333708	0.0986846648865145	1.00857861064596	0.764001652038349	0.64810283553925	0.940957053327967	0.385987608753852	-0.236274864743911	0.874704172150242	-0.169679357467914	-2.30412540004751	-0.476860808870349	-0.740549689203261	-0.526982570138814	-0.714975850107894	-1.66499229080593	-2.1623152196595	-0.837453907702209	-2.1408095675402	-1.54397098226637	-1.07578609299471	-1.93692739679568	0.113410125697343	-0.768118150816132	0.0263923350115216	0.611273194524601	0.953015551601486	0.24480845575625	-0.399061222773602	0.439334645268346	-0.275354809066356	-1.55796760955882	-0.703123506376842	0.11025966261435
ENSMUSG00000024365	Cyp21a1	protein_coding	34801348	34804561	17	-1	chromosome	cytochrome P450, family 21, subfamily a, polypeptide 1 [Source:MGI Symbol;Acc:MGI:88591]	ENSMUSG00000024365.9	ENSMUST00000025223	Cyp21a1	13079	DOWN	Rhythmic	-1.84427621008766	0.576694710910788	-10.4737817832278	1.85764446851252e-17	2.02938895711084e-16	28.8868235531771	DOWN	Rhythmic	0.00302785535795959	0.000618121767376206	24	18	0.0580005308733212	0.892776606081038	2.31121140678252	2.77119281420492	-0.302098720548312	1.36997837377351	1.54958426565234	1.77585402772745	1.08431848897691	1.26627153061618	-0.284427387006045	2.74231056073902	2.6564041420426	1.81653237644929	2.23908271564345	2.25076893814999	1.85787916511334	1.69060898677075	1.08423343801227	2.6988527264227	1.32477771940508	1.62473185820496	0.92202796710612	3.52208295129488	2.16145429620905	1.88962944576873	1.8134008882395	0.313764252799668	2.2044882723629	-0.28775434743788	1.98187727815317	0.603195720586967	0.982566199885139	-0.198843697622619	0.178544463004339	0.913927100361105	1.12721163473397	0.977736906247695	2.65492662988308	3.21658800046492	2.47292454386983	2.24993896599674	1.78218714535062	3.37985220664318	3.49343924412581	3.91603085177156	3.62396533618286	2.47349906368689	2.32545538371562	1.85336353533196	4.1554327591815
ENSMUSG00000015090	Ptgds	protein_coding	25466709	25470046	2	-1	chromosome	prostaglandin D2 synthase (brain) [Source:MGI Symbol;Acc:MGI:99261]	ENSMUSG00000015090.13	ENSMUST00000015234	Ptgds	19215	DOWN	Rhythmic	-1.79134106292524	1.25446537195826	-11.45298139992	1.61931930282603e-19	2.30176565385336e-18	33.6206871415845	DOWN	Rhythmic	0.000489743835929605	7.27989973730708e-05	24	2	0.530265060044425	0.714637850461273	2.86287265590842	3.40906744673462	3.67695136777128	4.26359694607564	3.62345695362831	2.96250519557017	3.69967848030438	3.13842309999115	3.82980529727	3.45529242189792	3.03845753772452	2.91300794566977	2.75817626704491	1.08653990380421	3.71599633035023	2.87078672352645	3.06278905779468	2.52242625565666	2.68611120341464	1.97786803714772	2.40687799231396	3.76674215901916	2.60402342802709	3.13140645223228	4.04652649315535	4.25137264773526	3.35943422800446	3.16573159351581	3.26043772373457	2.29343051455203	3.14970358659605	3.54635672762706	3.05624722579174	2.59101741381977	1.9424676550863	2.01627356881895	3.04235314035791	2.21848377750254	2.77488528376878	1.68886682195695	2.07836987941416	1.0473983975229	0.994929350641456	0.610150601173025	2.41364688931913	1.77343431581627	2.24842908016027	2.52057702687863	3.42961396678144
ENSMUSG00000025185	Loxl4	protein_coding	42593982	42612813	19	-1	chromosome	lysyl oxidase-like 4 [Source:MGI Symbol;Acc:MGI:1914823]	ENSMUSG00000025185.14	ENSMUST00000164786	Loxl4	67573	DOWN	Rhythmic	-1.77161825269845	0.14760444096295	-19.0999957677569	4.31913033824868e-34	4.93574302469602e-32	67.1565919600136	DOWN	Rhythmic	1.90154431467393e-10	2.1894580479838e-12	24	0	1.21597730663177	1.38308276442835	3.18230927757169	2.25414537729717	2.37590156731635	3.26750640363371	3.1122944983011	1.20817633097643	1.20916199620031	1.75391853957666	1.298231610146	0.174319018640582	0.803911205028817	-0.452840821600981	0.0342669410001103	0.51506946985608	-0.641942205906724	-0.837220962348991	-0.652459299616596	0.182835003426634	0.162332556105354	0.245743901558924	-0.0743306227654809	1.78154806499421	1.57916035678915	1.90498288238471	0.982415615369771	1.78037599743325	2.09349384631952	2.73146797440457	2.71160114647213	1.62267692670702	1.66990388204664	1.1136822641106	1.36554464346168	0.126033774680817	0.0446019593774528	0.524913986834702	1.03175686902792	0.500431898733668	-0.193206321280025	-0.578614127284727	-0.55988803105592	0.670998354417696	0.208640735239969	0.269034977493509	-0.500745703857345	0.601521234903657	0.0509976689297377	1.29728953481994	1.61389307220973
ENSMUSG00000074254	Cyp2a4	protein_coding	26307169	26315088	7	1	chromosome	cytochrome P450, family 2, subfamily a, polypeptide 4 [Source:MGI Symbol;Acc:MGI:88596]	ENSMUSG00000074254.4	ENSMUST00000098657	Cyp2a4	13086	DOWN	Rhythmic	-1.73856226349392	2.56090381712085	-5.64434534864177	1.75493852732982e-07	5.52433530621945e-07	6.11003303304312	DOWN	Rhythmic	0.00214246527492384	0.000412211799009526	24	18	2.33462335670783	1.5830349738233	20.8400364419424	9.81759602159602	13.716166939094	11.1426737254935	11.2402341813062	8.70329105441577	5.92408177492669	7.9469404619825	8.68473605000035	8.66068508293097	7.62289428424063	7.95265190009802	9.03759552592269	12.3392515400119	11.4188245167133	11.3918779751455	8.2727870922939	14.4061529219041	11.4068983347773	14.8325704334417	9.46061267314706	13.8738085765208	11.5849001766567	14.6258785307819	10.5096491495958	9.21950763061691	7.25914774252138	9.4669202176702	7.76904807941357	8.01735953928382	9.07315698971486	8.44382111802485	6.56109547167609	6.43964469773319	8.86995857819092	9.83198390224409	9.19975475553537	9.11617630469191	11.2671054764474	8.51377384266866	9.45232267872064	10.3279298873252	8.42674213062718	9.78344488842704	9.04522289478746	9.19979468494467	8.67012855207883	7.5334853652082	9.98938722478851
